,year,state,state_po,state_fips,state_cen,state_ic,office,district,stage,runoff,special,candidate,party,writein,mode,candidatevotes,totalvotes,unofficial,version,fusion_ticket
28351,2018,CALIFORNIA,CA,6,93,71,US HOUSE,8,GEN,,False,PAUL COOK,REPUBLICAN,False,TOTAL,102415,170785,False,20230706,False
28352,2018,CALIFORNIA,CA,6,93,71,US HOUSE,8,GEN,,False,TIM DONNELLY,REPUBLICAN,False,TOTAL,68370,170785,False,20230706,False
28353,2018,CALIFORNIA,CA,6,93,71,US HOUSE,9,GEN,,False,JERRY MCNERNEY,DEMOCRAT,False,TOTAL,113414,200763,False,20230706,False
28354,2018,CALIFORNIA,CA,6,93,71,US HOUSE,9,GEN,,False,MARLA LIVENGOOD,REPUBLICAN,False,TOTAL,87349,200763,False,20230706,False
28355,2018,CALIFORNIA,CA,6,93,71,US HOUSE,10,GEN,,False,JEFF DENHAM,REPUBLICAN,False,TOTAL,105955,221900,False,20230706,False
28356,2018,CALIFORNIA,CA,6,93,71,US HOUSE,10,GEN,,False,JOSH HARDER,DEMOCRAT,False,TOTAL,115945,221900,False,20230706,False
28357,2018,CALIFORNIA,CA,6,93,71,US HOUSE,11,GEN,,False,JOHN FITZGERALD,REPUBLICAN,False,TOTAL,71312,275681,False,20230706,False
28358,2018,CALIFORNIA,CA,6,93,71,US HOUSE,11,GEN,,False,MARK DESAULNIER,DEMOCRAT,False,TOTAL,204369,275681,False,20230706,False
28359,2018,CALIFORNIA,CA,6,93,71,US HOUSE,12,GEN,,False,LISA REMMER,REPUBLICAN,False,TOTAL,41780,317072,False,20230706,False
28360,2018,CALIFORNIA,CA,6,93,71,US HOUSE,12,GEN,,False,NANCY PELOSI,DEMOCRAT,False,TOTAL,275292,317072,False,20230706,False
28361,2018,CALIFORNIA,CA,6,93,71,US HOUSE,13,GEN,,False,BARBARA LEE,DEMOCRAT,False,TOTAL,260580,294837,False,20230706,False
28362,2018,CALIFORNIA,CA,6,93,71,US HOUSE,13,GEN,,False,LAURA WELLS,GREEN,False,TOTAL,34257,294837,False,20230706,False
28363,2018,CALIFORNIA,CA,6,93,71,US HOUSE,14,GEN,,False,CRISTINA OSMENA,REPUBLICAN,False,TOTAL,55439,266823,False,20230706,False
28364,2018,CALIFORNIA,CA,6,93,71,US HOUSE,14,GEN,,False,JACKIE SPEIER,DEMOCRAT,False,TOTAL,211384,266823,False,20230706,False
28365,2018,CALIFORNIA,CA,6,93,71,US HOUSE,15,GEN,,False,ERIC SWALWELL,DEMOCRAT,False,TOTAL,177989,243929,False,20230706,False
28366,2018,CALIFORNIA,CA,6,93,71,US HOUSE,15,GEN,,False,RUDY L PETERS JR,REPUBLICAN,False,TOTAL,65940,243929,False,20230706,False
28367,2018,CALIFORNIA,CA,6,93,71,US HOUSE,16,GEN,,False,ELIZABETH HENG,REPUBLICAN,False,TOTAL,60693,142959,False,20230706,False
28368,2018,CALIFORNIA,CA,6,93,71,US HOUSE,16,GEN,,False,JIM COSTA,DEMOCRAT,False,TOTAL,82266,142959,False,20230706,False
28369,2018,CALIFORNIA,CA,6,93,71,US HOUSE,17,GEN,,False,RO KHANNA,DEMOCRAT,False,TOTAL,159105,211162,False,20230706,False
28370,2018,CALIFORNIA,CA,6,93,71,US HOUSE,17,GEN,,False,RON COHEN,REPUBLICAN,False,TOTAL,52057,211162,False,20230706,False
28371,2018,CALIFORNIA,CA,6,93,71,US HOUSE,18,GEN,,False,ANNA G ESHOO,DEMOCRAT,False,TOTAL,225142,302238,False,20230706,False
28372,2018,CALIFORNIA,CA,6,93,71,US HOUSE,18,GEN,,False,CHRISTINE RUSSELL,REPUBLICAN,False,TOTAL,77096,302238,False,20230706,False
28373,2018,CALIFORNIA,CA,6,93,71,US HOUSE,19,GEN,,False,JUSTIN JAMES AGUILERA,REPUBLICAN,False,TOTAL,57823,220319,False,20230706,False
28374,2018,CALIFORNIA,CA,6,93,71,US HOUSE,19,GEN,,False,ZOE LOFGREN,DEMOCRAT,False,TOTAL,162496,220319,False,20230706,False
28375,2018,CALIFORNIA,CA,6,93,71,US HOUSE,20,GEN,,False,JIMMY PANETTA,DEMOCRAT,False,TOTAL,183677,225721,False,20230706,False
28376,2018,CALIFORNIA,CA,6,93,71,US HOUSE,20,GEN,,False,RONALD PAUL KABAT,NO PARTY PREFERENCE,False,TOTAL,42044,225721,False,20230706,False
28377,2018,CALIFORNIA,CA,6,93,71,US HOUSE,21,GEN,,False,DAVID G VALADAO,REPUBLICAN,False,TOTAL,56377,113616,False,20230706,False
