year,state,district,c1,c2,c1_party,c2_party,c1_votes,c2_votes,winner,winner_party
2018,CALIFORNIA,42,KEN CALVERT,JULIA C PEACOCK,REPUBLICAN,DEMOCRAT,131040,100892.0,KEN CALVERT,REPUBLICAN
2018,CALIFORNIA,43,MAXINE WATERS,OMAR NAVARRO,DEMOCRAT,REPUBLICAN,152272,43780.0,MAXINE WATERS,DEMOCRAT
2018,CALIFORNIA,44,NANETTE DIAZ BARRAGAN,AJA L BROWN,DEMOCRAT,DEMOCRAT,97944,45378.0,NANETTE DIAZ BARRAGAN,DEMOCRAT
2018,CALIFORNIA,45,KATIE PORTER,MIMI WALTERS,DEMOCRAT,REPUBLICAN,158906,146383.0,KATIE PORTER,DEMOCRAT
2018,CALIFORNIA,46,LOU CORREA,RUSSELL RENE LAMBERT,DEMOCRAT,REPUBLICAN,102278,45638.0,LOU CORREA,DEMOCRAT
2018,CALIFORNIA,47,ALAN LOWENTHAL,JOHN BRISCOE,DEMOCRAT,REPUBLICAN,143354,77682.0,ALAN LOWENTHAL,DEMOCRAT
2018,CALIFORNIA,48,HARLEY ROUDA,DANA ROHRABACHER,DEMOCRAT,REPUBLICAN,157837,136899.0,HARLEY ROUDA,DEMOCRAT
2018,CALIFORNIA,49,MIKE LEVIN,DIANE L HARKEY,DEMOCRAT,REPUBLICAN,166453,128577.0,MIKE LEVIN,DEMOCRAT
2018,CALIFORNIA,50,DUNCAN HUNTER,AMMAR CAMPA-NAJJAR,REPUBLICAN,DEMOCRAT,134362,125448.0,DUNCAN HUNTER,REPUBLICAN
2018,CALIFORNIA,51,JUAN VARGAS,JUAN M HIDALGO JR,DEMOCRAT,REPUBLICAN,109527,44301.0,JUAN VARGAS,DEMOCRAT
2018,CALIFORNIA,52,SCOTT PETERS,OMAR QUDRAT,DEMOCRAT,REPUBLICAN,188992,107015.0,SCOTT PETERS,DEMOCRAT
2018,CALIFORNIA,53,SUSAN A DAVIS,MORGAN MURTAUGH,DEMOCRAT,REPUBLICAN,185667,83127.0,SUSAN A DAVIS,DEMOCRAT
2018,COLORADO,1,DIANA DEGETTE,CHARLES CASPER STOCKHAM,DEMOCRAT,REPUBLICAN,272886,85207.0,DIANA DEGETTE,DEMOCRAT
2018,COLORADO,2,JOE NEGUSE,PETER YU,DEMOCRAT,REPUBLICAN,259608,144901.0,JOE NEGUSE,DEMOCRAT
2018,COLORADO,3,SCOTT R TIPTON,DIANE MITSCH BUSH,REPUBLICAN,DEMOCRAT,173205,146426.0,SCOTT R TIPTON,REPUBLICAN
2018,COLORADO,4,KEN BUCK,KAREN MCCORMICK,REPUBLICAN,DEMOCRAT,224038,145544.0,KEN BUCK,REPUBLICAN
2018,COLORADO,5,DOUG LAMBORN,STEPHANY ROSE SPAULDING,REPUBLICAN,DEMOCRAT,184002,126848.0,DOUG LAMBORN,REPUBLICAN
2018,COLORADO,6,JASON CROW,MIKE COFFMAN,DEMOCRAT,REPUBLICAN,187639,148685.0,JASON CROW,DEMOCRAT
2018,COLORADO,7,ED PERLMUTTER,MARK BARRINGTON,DEMOCRAT,REPUBLICAN,204260,119734.0,ED PERLMUTTER,DEMOCRAT
2018,CONNECTICUT,1,JOHN B LARSON,JENNIFER T NYE,DEMOCRAT,REPUBLICAN,166155,96024.0,JOHN B LARSON,DEMOCRAT
2018,CONNECTICUT,2,JOE COURTNEY,DANNY POSTEMSKI JR,DEMOCRAT,REPUBLICAN,167659,102483.0,JOE COURTNEY,DEMOCRAT
2018,CONNECTICUT,3,ROSA L DELAURO,ANGEL CADENA,DEMOCRAT,REPUBLICAN,163211,95667.0,ROSA L DELAURO,DEMOCRAT
2018,CONNECTICUT,4,JIM HIMES,HARRY ARORA,DEMOCRAT,REPUBLICAN,168726,103175.0,JIM HIMES,DEMOCRAT
2018,CONNECTICUT,5,JAHANA HAYES,MANNY SANTOS,DEMOCRAT,REPUBLICAN,142901,115146.0,JAHANA HAYES,DEMOCRAT
