year,state,district,c1_x,c2_x,c1_party_x,c2_party_x,c1_votes,c2_votes,winner,winner_party,c1_y,c2_y,c1_party_y,c2_party_y,c1_pct,c2_pct
2018,CALIFORNIA,28,ADAM B SCHIFF,JOHNNY J NALBANDIAN,DEMOCRAT,REPUBLICAN,196662.0,54272.0,ADAM B SCHIFF,DEMOCRAT,,,,,,
2018,CALIFORNIA,29,TONY CARDENAS,BENITO BENNY BERNAL,DEMOCRAT,REPUBLICAN,124697.0,29995.0,TONY CARDENAS,DEMOCRAT,,,,,,
2018,CALIFORNIA,30,BRAD SHERMAN,MARK S REED,DEMOCRAT,REPUBLICAN,191573.0,69420.0,BRAD SHERMAN,DEMOCRAT,,,,,,
2018,CALIFORNIA,31,PETE AGUILAR,SEAN FLYNN,DEMOCRAT,REPUBLICAN,110143.0,77352.0,PETE AGUILAR,DEMOCRAT,,,,,,
2018,CALIFORNIA,32,GRACE FLORES NAPOLITANO,JOSHUA M SCOTT,DEMOCRAT,REPUBLICAN,121759.0,55272.0,GRACE FLORES NAPOLITANO,DEMOCRAT,,,,,,
2018,CALIFORNIA,33,TED W LIEU,KENNETH WESTON WRIGHT,DEMOCRAT,REPUBLICAN,219091.0,93769.0,TED W LIEU,DEMOCRAT,,,,,,
2018,CALIFORNIA,34,JIMMY GOMEZ,KENNETH MEJIA,DEMOCRAT,GREEN,110195.0,41711.0,JIMMY GOMEZ,DEMOCRAT,,,,,,
2018,CALIFORNIA,35,NORMA J TORRES,CHRISTIAN LEONEL VALIENTE,DEMOCRAT,REPUBLICAN,103420.0,45604.0,NORMA J TORRES,DEMOCRAT,,,,,,
2018,CALIFORNIA,36,RAUL RUIZ,KIMBERLIN BROWN PELZER,DEMOCRAT,REPUBLICAN,122169.0,84839.0,RAUL RUIZ,DEMOCRAT,,,,,,
2018,CALIFORNIA,37,KAREN BASS,RON J BASSILIAN,DEMOCRAT,REPUBLICAN,210555.0,25823.0,KAREN BASS,DEMOCRAT,,,,,,
2018,CALIFORNIA,38,LINDA T SANCHEZ,RYAN DOWNING,DEMOCRAT,REPUBLICAN,139188.0,62968.0,LINDA T SANCHEZ,DEMOCRAT,,,,,,
2018,CALIFORNIA,39,GIL CISNEROS,YOUNG KIM,DEMOCRAT,REPUBLICAN,126002.0,118391.0,GIL CISNEROS,DEMOCRAT,GIL CISNEROS,YOUNG KIM,DEM,REP,53.0,51.0
2018,CALIFORNIA,40,LUCILLE ROYBAL-ALLARD,RODOLFO CORTES BARRAGAN,DEMOCRAT,GREEN,93938.0,27511.0,LUCILLE ROYBAL-ALLARD,DEMOCRAT,,,,,,
2018,CALIFORNIA,41,MARK TAKANO,AJA SMITH,DEMOCRAT,REPUBLICAN,108227.0,58021.0,MARK TAKANO,DEMOCRAT,,,,,,
2018,CALIFORNIA,42,KEN CALVERT,JULIA C PEACOCK,REPUBLICAN,DEMOCRAT,131040.0,100892.0,KEN CALVERT,REPUBLICAN,,,,,,
2018,CALIFORNIA,43,MAXINE WATERS,OMAR NAVARRO,DEMOCRAT,REPUBLICAN,152272.0,43780.0,MAXINE WATERS,DEMOCRAT,,,,,,
2018,CALIFORNIA,44,NANETTE DIAZ BARRAGAN,AJA L BROWN,DEMOCRAT,DEMOCRAT,97944.0,45378.0,NANETTE DIAZ BARRAGAN,DEMOCRAT,,,,,,
2018,CALIFORNIA,45,KATIE PORTER,MIMI WALTERS,DEMOCRAT,REPUBLICAN,158906.0,146383.0,KATIE PORTER,DEMOCRAT,KATIE PORTER,MIMI WALTERS,DEM,REP,52.0,50.0
2018,CALIFORNIA,46,LOU CORREA,RUSSELL RENE LAMBERT,DEMOCRAT,REPUBLICAN,102278.0,45638.0,LOU CORREA,DEMOCRAT,,,,,,
2018,CALIFORNIA,47,ALAN LOWENTHAL,JOHN BRISCOE,DEMOCRAT,REPUBLICAN,143354.0,77682.0,ALAN LOWENTHAL,DEMOCRAT,,,,,,
2018,CALIFORNIA,48,HARLEY ROUDA,DANA ROHRABACHER,DEMOCRAT,REPUBLICAN,157837.0,136899.0,HARLEY ROUDA,DEMOCRAT,DANA ROHRABACHER,DANA ROHRABACHER,REP,REP,52.0,50.7
2018,CALIFORNIA,49,MIKE LEVIN,DIANE L HARKEY,DEMOCRAT,REPUBLICAN,166453.0,128577.0,MIKE LEVIN,DEMOCRAT,MIKE LEVIN,MIKE LEVIN,DEM,DEM,55.0,54.74
2018,CALIFORNIA,50,DUNCAN HUNTER,AMMAR CAMPA-NAJJAR,REPUBLICAN,DEMOCRAT,134362.0,125448.0,DUNCAN HUNTER,REPUBLICAN,DUNCAN HUNTER,DUNCAN HUNTER,REP,REP,53.0,51.0
2018,CALIFORNIA,51,JUAN VARGAS,JUAN M HIDALGO JR,DEMOCRAT,REPUBLICAN,109527.0,44301.0,JUAN VARGAS,DEMOCRAT,,,,,,
2018,CALIFORNIA,52,SCOTT PETERS,OMAR QUDRAT,DEMOCRAT,REPUBLICAN,188992.0,107015.0,SCOTT PETERS,DEMOCRAT,,,,,,
2018,CALIFORNIA,53,SUSAN A DAVIS,MORGAN MURTAUGH,DEMOCRAT,REPUBLICAN,185667.0,83127.0,SUSAN A DAVIS,DEMOCRAT,,,,,,
2018,COLORADO,1,DIANA DEGETTE,CHARLES CASPER STOCKHAM,DEMOCRAT,REPUBLICAN,272886.0,85207.0,DIANA DEGETTE,DEMOCRAT,,,,,,
