,year,state,district,c1_x,c2_x,c1_party_x,c2_party_x,c1_votes,c2_votes,winner,winner_party,c1_y,c2_y,c1_party_y,c2_party_y,c1_pct,c2_pct
96,2018,NEW YORK,22,ANTHONY J BRINDISI,ANTHONY J BRINDISI,DEMOCRAT,INDEPENDENCE,251212,251212,ANTHONY J BRINDISI,DEMOCRAT,ANTHONY J. BRINDISI,CLAUDIA TENNEY,DEM,REP,55.0,50.0
97,2018,NEW YORK,23,THOMAS W REED II,THOMAS W REED II,CONSERVATIVE,INDEPENDENCE,240374,240374,THOMAS W REED II,CONSERVATIVE,THOMAS REED,TRACY MITRANO,REP,DEM,49.0,47.0
98,2018,NEW YORK,24,DANA BALTER,DANA BALTER,DEMOCRAT,WOMEN'S EQUALITY,260477,260477,DANA BALTER,DEMOCRAT,JOHN KATKO,JOHN KATKO,REP,REP,54.0,53.0
99,2018,NEW YORK,25,JIM MAXWELL,JIM MAXWELL,CONSERVATIVE,REFORM,270120,270120,JIM MAXWELL,CONSERVATIVE,JOSEPH D. MORELLE,JOSEPH D. MORELLE,DEM,DEM,55.0,53.0
100,2018,NEW YORK,27,CHRIS COLLINS,CHRIS COLLINS,CONSERVATIVE,INDEPENDENCE,285300,285300,CHRIS COLLINS,CONSERVATIVE,PATRICK M. GALLIVAN,STEFAN MYCHAJLIW,REP,REP,53.3,48.7
101,2018,NORTH CAROLINA,2,GEORGE HOLDING,JEFF MATEMU,REPUBLICAN,LIBERTARIAN,331704,331704,GEORGE HOLDING,REPUBLICAN,GEORGE HOLDING,LINDA COLEMAN,REP,DEM,49.0,45.0
102,2018,NORTH CAROLINA,7,DAVID ROUZER,DAVID W FALLIN,REPUBLICAN,CONSTITUTION,282312,282312,DAVID ROUZER,REPUBLICAN,KYLE HORTON,DAVID ROUZER,DEM,REP,44.0,40.0
103,2018,NORTH CAROLINA,9,DAN MCCREADY,JEFF SCOTT,DEMOCRAT,LIBERTARIAN,282717,282717,DAN MCCREADY,DEMOCRAT,MARK HARRIS,MARK HARRIS,REP,REP,46.82,45.37
104,2018,NORTH CAROLINA,13,KATHY MANNING,ROBERT CORRIHER,DEMOCRAT,GREEN,286316,286316,KATHY MANNING,DEMOCRAT,TED BUDD,KATHY MANNING,REP,DEM,46.88,46.0
105,2018,OHIO,1,AFTAB PUREVAL,DIRK KUBALA,DEMOCRAT,LIBERTARIAN,300871,300871,AFTAB PUREVAL,DEMOCRAT,STEVE CHABOT,STEVE CHABOT,REP,REP,51.0,50.13
106,2018,OHIO,2,BRAD WENSTRUP,JAMES J CONDIT JR,REPUBLICAN,GREEN,289661,289661,BRAD WENSTRUP,REPUBLICAN,BRAD WENSTRUP,JILL SCHILLER,REP,DEM,52.0,39.0
107,2018,OHIO,4,JANET GARRETT,JIM JORDAN,DEMOCRAT,REPUBLICAN,257405,257405,JANET GARRETT,DEMOCRAT,JIM JORDAN,JANET GARRETT,REP,DEM,60.0,36.0
108,2018,OHIO,7,BOB GIBBS,KEN HARBAUGH,REPUBLICAN,DEMOCRAT,260653,260653,BOB GIBBS,REPUBLICAN,BOB GIBBS,BOB GIBBS,REP,REP,54.59,49.0
109,2018,OHIO,12,DANNY O'CONNOR,JOE MANCHIK,DEMOCRAT,GREEN,341647,341647,DANNY O'CONNOR,DEMOCRAT,TROY BALDERSON,TROY BALDERSON,REP,REP,50.0,49.0
110,2018,OKLAHOMA,1,KEVIN HERN,TIM GILPIN,REPUBLICAN,DEMOCRAT,253171,253171,KEVIN HERN,REPUBLICAN,KEVIN HERN,TIM GILPIN,REP,DEM,54.0,31.9
111,2018,OKLAHOMA,2,JASON NICHOLS,JOHN FOREMAN,DEMOCRAT,INDEPENDENT,216002,216002,JASON NICHOLS,DEMOCRAT,MARKWAYNE MULLIN,JASON NICHOLS,REP,DEM,46.0,32.2
112,2018,OKLAHOMA,3,FRANK D LUCAS,FRANKIE ROBBINS,REPUBLICAN,DEMOCRAT,234065,234065,FRANK D LUCAS,REPUBLICAN,FRANK D. LUCAS,FRANKIE ROBBINS,REP,DEM,54.0,24.1
113,2018,OKLAHOMA,4,MARY BRANNON,RUBY PETERS,DEMOCRAT,INDEPENDENT,236638,236638,MARY BRANNON,DEMOCRAT,TOM COLE,MARY BRANNON,REP,DEM,58.0,24.7
114,2018,OKLAHOMA,5,KENDRA HORN,STEVE RUSSELL,DEMOCRAT,REPUBLICAN,238960,238960,KENDRA HORN,DEMOCRAT,STEVE RUSSELL,STEVE RUSSELL,REP,REP,51.0,50.0
115,2018,OREGON,2,GREG WALDEN,JAMIE MCLEOD-SKINNER,REPUBLICAN,DEMOCRAT,368709,368709,GREG WALDEN,REPUBLICAN,GREG WALDEN,JAMIE MCLEOD-SKINNER,REP,DEM,49.0,40.0
116,2018,OREGON,5,DAN SOUZA,KURT SCHRADER,LIBERTARIAN,DEMOCRAT,358469,358469,DAN SOUZA,LIBERTARIAN,MARK CALLAHAN,KURT SCHRADER,REP,DEM,56.0,33.0
117,2018,PENNSYLVANIA,1,BRIAN K FITZPATRICK,HENRY SCOTT WALLACE,REPUBLICAN,DEMOCRAT,329798,329798,BRIAN K FITZPATRICK,REPUBLICAN,BRIAN FITZPATRICK,BRIAN FITZPATRICK,REP,REP,52.0,50.0
118,2018,PENNSYLVANIA,7,MARTIN W NOTHSTEIN,SUSAN ELLIS WILD,REPUBLICAN,DEMOCRAT,263261,263261,MARTIN W NOTHSTEIN,REPUBLICAN,SUSAN WILD,SUSAN WILD,DEM,DEM,52.4,50.18
119,2018,PENNSYLVANIA,8,JOHN ROBERT CHRIN,MATTHEW ALTON CARTWRIGHT,REPUBLICAN,DEMOCRAT,248166,248166,JOHN ROBERT CHRIN,REPUBLICAN,MATT CARTWRIGHT,MATT CARTWRIGHT,DEM,DEM,57.0,52.38
120,2018,PENNSYLVANIA,9,DANIEL MEUSER,DENNIS WOLFF,REPUBLICAN,DEMOCRAT,248927,248927,DANIEL MEUSER,REPUBLICAN,DAN MEUSER,DENNY WOLFF,REP,DEM,57.0,36.0
121,2018,PENNSYLVANIA,10,GEORGE B SCOTT,SCOTT G PERRY,DEMOCRAT,REPUBLICAN,291033,291033,GEORGE B SCOTT,DEMOCRAT,SCOTT PERRY,GEORGE B. SCOTT,REP,DEM,49.0,46.0
122,2018,PENNSYLVANIA,11,JESSICA KING,LLOYD K SMUCKER,DEMOCRAT,REPUBLICAN,277584,277584,JESSICA KING,DEMOCRAT,LLOYD K. SMUCKER,JESS KING,REP,DEM,50.0,46.0
123,2018,PENNSYLVANIA,13,BRENT M OTTAWAY,JOHN JOYCE,DEMOCRAT,REPUBLICAN,253266,253266,BRENT M OTTAWAY,DEMOCRAT,JOHN JOYCE,BRENT OTTAWAY,REP,DEM,57.0,36.0
124,2018,PENNSYLVANIA,16,EBERT G BILL BEEMAN,GEORGE J KELLY JR,LIBERTARIAN,REPUBLICAN,262396,262396,EBERT G BILL BEEMAN,LIBERTARIAN,MIKE KELLY,RONALD A. DINICOLA,REP,DEM,51.21,51.0
